,id,title,release_date,popularity,vote_average,vote_count
363,6715,The Cure,1995-04-21,12.686,7.9,310
364,78,Blade Runner,1982-06-25,68.907,7.939,13937
365,10404,Raise the Red Lantern,1991-12-18,17.781,7.938,720
366,76203,12 Years a Slave,2013-10-18,30.966,7.937,11344
367,776503,CODA,2021-08-13,28.217,7.936,2290
368,10238,Cries and Whispers,1972-12-21,14.358,7.9,698
369,242828,When Marnie Was There,2014-07-19,18.679,7.935,1809
370,30017,Close-Up,1990-05-09,9.014,7.9,387
371,29264,The Exterminating Angel,1962-05-16,10.853,7.935,676
372,615457,Nobody,2021-03-18,43.237,7.934,7218
373,770,Gone with the Wind,1939-12-15,47.534,7.933,4074
374,51822,Love Hurts,2002-11-08,19.77,7.938,316
375,9323,Ghost in the Shell,1995-11-18,41.801,7.93,3459
376,5801,Pather Panchali,1955-08-26,9.34,7.93,429
377,489412,It's Such a Beautiful Day,2012-08-24,9.535,7.9,327
378,48035,Ordet,1955-01-09,8.771,7.928,368
379,296096,Me Before You,2016-06-01,83.72,7.927,12507
380,1578,Raging Bull,1980-11-14,22.423,7.9,4367
381,11010,The Postman,1994-04-07,15.111,7.926,1146
382,15383,Army of Shadows,1969-09-10,11.787,7.9,660
383,8290,Don't Look Now... We're Being Shot At!,1966-12-08,17.309,7.9,1358
384,152532,Dallas Buyers Club,2013-11-01,22.357,7.924,8529
385,38360,The Cranes Are Flying,1957-10-12,10.642,7.9,390
386,1646,Freedom Writers,2007-01-05,28.31,7.9,2226
387,49964,Where Is The Friend's House?,1987-07-01,11.852,7.9,367
388,85,Raiders of the Lost Ark,1981-06-12,381.91,7.921,12677
389,142061,"Batman: The Dark Knight Returns, Part 2",2013-01-03,29.986,7.9,1492
390,122906,About Time,2013-09-04,45.98,7.9,8598
391,554596,"No manches, Frida 2: paraíso destruido",2019-03-15,53.223,7.9,888
392,949,Heat,1995-12-15,52.48,7.916,7433
393,194,Amélie,2001-04-25,46.292,7.916,11637
394,775,A Trip to the Moon,1902-06-15,15.201,7.915,1815
395,33,Unforgiven,1992-08-07,28.827,7.9,4477
396,505262,My Hero Academia: Two Heroes,2018-08-03,25.402,7.914,1018
397,426618,Where Hands Touch,2018-09-14,13.842,7.918,516
398,28971,Limelight,1952-10-23,11.098,7.914,536
399,3777,Throne of Blood,1957-01-15,16.842,7.9,875
400,110,Three Colors: Red,1994-05-12,15.208,7.913,1412
401,150540,Inside Out,2015-06-17,120.331,7.912,22265
402,10242,What Ever Happened to Baby Jane?,1962-10-31,19.346,7.9,1063
403,7857,Amarcord,1973-12-18,9.459,7.912,1118
404,234,The Cabinet of Dr. Caligari,1920-02-27,17.606,7.9,1616
405,404378,A Street Cat Named Bob,2016-11-04,16.538,7.9,1448
406,1092,The Third Man,1949-08-31,22.274,7.9,1898
407,829,Chinatown,1974-06-20,31.346,7.91,3876
408,21334,Children of Heaven,1997-08-01,12.872,7.9,634
409,25538,Yi Yi,2000-09-20,17.192,7.9,547
410,597,Titanic,1997-11-18,152.158,7.906,25693
411,920394,My Father's Violin,2022-01-21,10.285,7.906,330
412,654,On the Waterfront,1954-06-22,16.492,7.9,1599
413,491480,The Boy Who Harnessed the Wind,2019-02-14,35.477,7.9,1690
414,118340,Guardians of the Galaxy,2014-07-30,46.136,7.905,28267
415,13398,Tokyo Godfathers,2003-12-05,14.229,7.9,1311
416,10674,Mulan,1998-06-18,84.413,7.9,9810
417,7984,In the Name of the Father,1993-12-12,15.936,7.9,1769
418,740937,Simone: Woman of the Century,2022-10-12,7.298,7.907,351
419,671,Harry Potter and the Philosopher's Stone,2001-11-16,155.159,7.904,27900
420,378108,In This Corner of the World,2016-11-12,11.515,7.9,565
421,20271,Divorce Italian Style,1961-12-20,7.968,7.903,470
422,405,La Strada,1954-09-23,11.834,7.9,1076
423,827,Diabolique,1955-01-29,14.263,7.9,987
424,458302,"Remi, Nobody's Boy",2018-12-12,10.417,7.896,422
425,313369,La La Land,2016-12-01,89.685,7.9,17076
426,944401,Dogman,2023-09-27,96.706,7.899,1141
427,334533,Captain Fantastic,2016-07-08,25.28,7.899,6455
428,60243,A Separation,2011-02-15,16.229,7.9,1769
429,610150,Dragon Ball Super: Super Hero,2022-06-11,32.643,7.898,2862
430,482321,Ron's Gone Wrong,2021-10-14,29.407,7.9,1877
431,51482,Death Note Relight 1: Visions of a God,2007-08-31,118.42,7.884,354
